plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,71-SB02,71,39|41|59|61|63|65,2,453273_S002|2
small_six_bay_block,72-SB01,72,01|03|21|23|41|43,5,453273_S236|3;453273_S238|2
small_six_bay_block,72-SB02,72,45|47|49|55|57|59,11,453273_S235|5;453273_S236|2;453273_S238|1;454548_S036|3
small_six_bay_block,74-SB01,74,01|03|05|07|09|11,14,453273_S042|1;453273_S191|1;453273_S192|2;453273_S206|2;453273_S248|3;453273_S249|5
small_six_bay_block,74-SB02,74,13|15|17|19|21|23,13,453273_S176|5;453273_S178|2;453273_S189|2;453273_S191|2;453273_S205|2
small_six_bay_block,74-SB03,74,25|27|29|31|33|35,26,453273_S177|1;453273_S178|3;453273_S190|8;453273_S192|3;453273_S204|11
small_six_bay_block,74-SB04,74,37|39|41|43|45|47,9,453273_S179|9
small_six_bay_block,74-SB05,74,49|51|53|55|57|59,6,453273_S204|6
small_six_bay_block,74-SB06,74,61|63|65|67|69|71,11,453273_S204|5;453273_S205|6
small_six_bay_block,75-SB01,75,01|03|05|07|09|11,20,453307_S105|1;453307_S106|7;453307_S107|3;453307_S132|5;453307_S133|4
small_six_bay_block,75-SB02,75,13|15|17|19|21|23,35,453307_S129|2;453307_S130|1;453307_S131|2;453307_S169|13;453307_S174|17
small_six_bay_block,75-SB03,75,25|27|29|31|33|35,38,453307_S106|17;453307_S133|11;453307_S134|1;453307_S135|9
small_six_bay_block,75-SB04,75,37|39|41|43|45|47,32,453307_S132|10;453307_S133|22
small_six_bay_block,75-SB05,75,49|51|53|55|57|59,20,453307_S129|2;453307_S132|6;453307_S133|12
small_six_bay_block,75-SB06,75,61|63|65|67|69|71,34,453307_S107|21;453307_S133|13
small_six_bay_block,78-SB01,78,01|03|05|07|13|15,4,453273_S027|4
small_six_bay_block,79-SB01,79,01|03|05|07|09|11,75,453273_S006|12;453273_S007|5;453273_S008|4;453273_S009|4;453273_S010|19;453273_S017|2;453307_S007|7;453307_S008|6;453307_S015|2;453307_S016|2;453307_S017|5;453307_S018|2;453307_S019|4;453307_S020|1
small_six_bay_block,79-SB02,79,13|15|17|19|21|23,81,453307_S005|24;453307_S006|19;453307_S008|7;453307_S011|2;453307_S012|22;453307_S013|7
small_six_bay_block,79-SB03,79,25|27|29|31|33|35,49,453307_S011|9;453307_S012|40
small_six_bay_block,79-SB04,79,37|39|41|43|45|47,55,453273_S010|26;453307_S011|11;453307_S013|18
small_six_bay_block,79-SB05,79,49|51|53|55|57|59,20,453307_S013|20
small_six_bay_block,79-SB06,79,61|63|65|67|69|71,18,453273_S005|1;453307_S013|14;453307_S021|1;453307_S022|2
small_six_bay_block,7A-SB01,7A,01|03|05|07|09|11,11,454585_S022|1;454585_S031|9;454585_S040|1
small_six_bay_block,7A-SB02,7A,13|15|25|27|29|33,17,454585_S018|3;454585_S019|2;454585_S020|2;454585_S021|10
small_six_bay_block,7B-SB01,7B,01|03|05|07|09|11,30,453307_S009|8;453307_S010|12;453307_S011|10
small_six_bay_block,7B-SB02,7B,13|15|17|19|21|23,8,453307_S011|8
small_six_bay_block,7B-SB03,7B,25|27|29|31|33|35,43,453273_S015|2;453273_S016|3;453307_S010|22;453307_S014|16
small_six_bay_block,7B-SB04,7B,37|39|41|43|45|47,33,453273_S011|3;453273_S013|6;453273_S015|14;453273_S016|10
small_six_bay_block,7B-SB05,7B,49|51|53|55|57|59,7,453273_S011|1;453273_S012|4;453273_S014|2
small_six_bay_block,7B-SB06,7B,61|63|65|67|69|71,40,453273_S015|14;453307_S009|26
small_six_bay_block,7G-SB01,7G,01|03|05|07|09|11,2,454548_S001|1;454548_S002|1
small_six_bay_block,80-SB02,80,35|47|49|57|59|61,6,453273_S002|6
small_six_bay_block,81-SB01,81,01|03|11|13|23|25,2,453273_S002|2
small_six_bay_block,81-SB02,81,27|29|41|43|45|47,6,453273_S002|6
small_six_bay_block,81-SB03,81,49|51|53|55|57|65,4,453273_S002|4
small_six_bay_block,83-SB01,83,01|03|05|07|09|11,90,453273_S032|3;453273_S033|1;453273_S034|4;453273_S036|2;453273_S037|1;453273_S038|1;453273_S039|2;453273_S040|1;453273_S041|1;453273_S043|1;453273_S046|5;453273_S047|1;453273_S048|1;453273_S051|5;453273_S052|1;453273_S053|4;453273_S054|1;453273_S055|1;453273_S064|1;453273_S065|1;453273_S066|1;453273_S067|1;453273_S068|4;453273_S069|2;453273_S070|1;453273_S071|1;453273_S072|1;453273_S073|1;453273_S074|1;453273_S075|2;453273_S076|1;453273_S077|1;453273_S078|1;453273_S079|2;453273_S080|2;453273_S081|1;453273_S082|3;453273_S090|4;453273_S091|1;453273_S095|2;453273_S096|1;453273_S099|1;453273_S100|1;453273_S101|1;453273_S240|11;453273_S248|4
small_six_bay_block,83-SB02,83,13|15|17|19|21|23,68,453273_S044|7;453273_S045|7;453273_S049|15;453273_S058|1;453273_S059|2;453273_S060|3;453273_S061|1;453273_S062|2;453273_S092|3;453273_S093|7;453273_S094|1;453273_S102|2;453273_S103|1;453273_S104|9;453273_S105|2;453273_S106|5
small_six_bay_block,83-SB03,83,25|27|29|31|33|35,54,453273_S056|3;453273_S058|4;453273_S083|15;453273_S084|1;453273_S085|1;453273_S086|1;453273_S087|1;453273_S088|14;453273_S089|5;453273_S239|6;453273_S241|1;453273_S242|2
small_six_bay_block,83-SB04,83,37|39|41|43|45|47,24,453273_S060|2;453273_S063|11;453273_S243|1;453273_S255|4;453273_S256|4;453273_S257|2
small_six_bay_block,83-SB05,83,49|51|53|55|57|59,28,453273_S057|8;453273_S097|1;453273_S098|5;453273_S256|12;453273_S257|2
small_six_bay_block,83-SB06,83,61|63|65|67|69|71,73,453273_S057|38;453273_S098|19;453273_S248|16
small_six_bay_block,85-SB01,85,01|03|05|07|09|11,53,453273_S202|38;453273_S203|5;453273_S205|10
small_six_bay_block,85-SB02,85,13|15|17|19|21|23,56,453273_S202|20;453273_S203|36
small_six_bay_block,85-SB03,85,25|27|29|31|33|35,51,453273_S202|20;453273_S203|16;453273_S205|15
small_six_bay_block,85-SB04,85,37|39|41|43|45|47,36,453273_S172|21;453273_S205|3;453273_S249|12
small_six_bay_block,85-SB05,85,49|51|53|55|57|59,48,453273_S202|20;453273_S203|17;453273_S245|9;453273_S247|1;453273_S249|1
small_six_bay_block,85-SB06,85,61|63|65|67|69|71,43,453273_S202|20;453273_S244|4;453273_S246|1;453273_S247|5;453273_S249|13
small_six_bay_block,89-SB01,89,01|03|05|07|13|15,14,453396_S002|1;453396_S004|4;453396_S005|3;453396_S006|1;453396_S007|3;453396_S008|1;453396_S009|1
small_six_bay_block,89-SB02,89,17|19|21|23|25|27,15,453388_S025|1;453388_S026|11;453388_S031|1;453396_S003|2
small_six_bay_block,89-SB03,89,29|31|33|35|37|39,4,453388_S025|4
small_six_bay_block,89-SB04,89,41|43|45|47|49|51,66,453388_S004|18;453388_S006|5;453388_S008|2;453388_S009|23;453388_S010|18
small_six_bay_block,8A-SB01,8A,01|03|05|07|09|11,28,453396_S012|2;453396_S013|4;453396_S014|1;454710_S001|1;454710_S002|1;454710_S006|8;454710_S007|3;454710_S008|2;454710_S033|1;454710_S034|3;454710_S036|2
small_six_bay_block,8A-SB02,8A,13|15|17|19|21|23,11,454710_S017|3;454710_S018|1;454710_S035|1;454710_S037|1;454710_S038|1;454710_S039|1;454710_S040|2;454710_S041|1
small_six_bay_block,8A-SB03,8A,25|27|29|31|33|35,27,453396_S018|4;453396_S019|1;453396_S020|5;453396_S021|5;454710_S014|12
small_six_bay_block,8A-SB04,8A,37|39|41|43|45|47,18,453396_S010|1;453396_S011|17
small_six_bay_block,8A-SB05,8A,49|51|53|55|57|59,26,454710_S017|6;454710_S018|15;454710_S019|5
small_six_bay_block,8B-SB01,8B,01|03|05|07|09|11,13,454585_S010|1;454585_S011|3;454585_S031|3;454585_S036|5;454585_S037|1
