run_id,planning_time,voy_id,flow,area_no,size,planned_qty,status_name,objective_value
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,22,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,24,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,27,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,30,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,32,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,33,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,41,40,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,42,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,43,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,45,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,47,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,51,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,60,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,61,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,62,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,63,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,65,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,70,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,71,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,72,40,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,81,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,82,40,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,83,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,94,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,AD,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E1,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E2,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E3,40,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E4,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E5,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E8,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E9,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,EA,40,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,EB,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,EC,40,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,22,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,23,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,30,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,31,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,41,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,51,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,60,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,71,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,80,40,2,OPTIMAL,73649.57700583554
