voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453273,T,73,40,15,0.0,15.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,75,40,211,0.0,211.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,E4,40,4,0.0,4.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,IF,79,40,264,0.0,264.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,IZ,68,40,17,0.0,17.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,OZ,10,40,18,0.0,18.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,OZ,11,40,45,0.0,45.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,OZ,E2,40,1,0.0,1.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,OZ,E8,40,787,0.0,787.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,OZ,E9,40,753,0.0,753.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,OZ,EA,40,694,0.0,694.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,22,40,41,0.0,41.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,54,40,134,0.0,134.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,62,40,19,0.0,19.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,64,40,151,0.0,151.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,65,40,10,0.0,10.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,72,40,13,0.0,13.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,73,40,15,0.0,15.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,74,40,122,0.0,122.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,85,40,25,0.0,25.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,13,40,19,0.0,19.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,15,40,225,0.0,225.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,22,40,41,0.0,41.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,24,40,107,0.0,107.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,32,40,31,0.0,31.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,33,40,28,0.0,28.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,55,40,219,0.0,219.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,62,40,19,0.0,19.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,72,40,13,0.0,13.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,73,40,15,0.0,15.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,83,40,31,0.0,31.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,85,40,277,0.0,277.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
