voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453396,T,82,3,40,
453396,T,83,11,40,
453396,T,84,1,20,
453396,T,84,1,40,
453396,T,86,1,40,
453396,T,87,2,20,
453396,T,93,49,40,
453396,T,94,1,40,
453396,T,E1,33,40,
453396,T,E2,6,40,
453396,T,E3,2,40,
453396,T,E4,12,40,
453396,T,E5,11,40,
453396,T,E6,25,40,
453396,T,E7,35,40,
453396,T,E8,46,40,
453396,T,E9,13,40,
453396,T,EA,21,40,
453396,T,EB,9,40,
453396,T,EC,18,40,
453396,T,ED,44,40,
453396,T,EE,2,40,
453412,OF,3G,1,20,
453412,OF,3G,7,40,
453412,OF,3H,3,40,
453412,OF,3K,2,20,
453412,OF,3K,2,40,
453412,OF,49,20,20,
453412,OF,49,204,40,
453412,OF,4B,6,20,
453412,OF,4B,5,40,
453412,OF,4C,4,20,
453412,OF,4C,30,40,
453412,OF,4E,148,20,
453412,OF,4E,288,40,
453412,OF,5E,76,20,
453412,OF,5E,222,40,
453412,OF,5F,97,20,
453412,OF,5F,237,40,
453412,OF,6B,3,20,
453412,OF,6B,2,40,
453412,OF,6H,4,40,
453412,OF,6K,3,40,
453412,OF,7A,150,20,
453412,OF,7A,305,40,
453412,OF,8B,97,20,
453412,OF,8B,257,40,
453412,OF,E1,7,20,
453412,OF,E1,2,40,
453412,OF,E2,3,20,
453412,OF,E2,5,40,
453412,OF,E4,9,20,
453412,OF,E4,42,40,
453412,OF,E5,2,20,
453412,OF,E5,2,40,
453412,OF,E6,18,40,
453412,OF,E7,19,40,
453412,OF,E8,5,20,
453412,OF,E8,2,40,
453412,OF,E9,7,20,
453412,OF,E9,5,40,
453412,OF,EA,23,40,
453412,OF,EB,7,40,
453412,OF,EC,34,40,
453412,OF,ED,73,40,
453412,OF,EE,77,40,
453412,OZ,10,2,20,
453412,OZ,10,2,40,
453412,OZ,11,1,20,
453412,OZ,11,2,40,
453412,OZ,12,5,20,
453412,OZ,12,3,40,
453412,OZ,21,1,40,
453412,OZ,30,3,20,
453412,OZ,30,2,40,
453412,OZ,31,5,20,
453412,OZ,31,2,40,
453412,OZ,40,5,40,
453412,OZ,41,3,20,
453412,OZ,41,3,40,
453412,OZ,51,9,20,
453412,OZ,51,2,40,
453412,OZ,60,7,20,
453412,OZ,60,17,40,
453412,OZ,61,1,20,
453412,OZ,61,12,40,
453412,OZ,70,6,20,
453412,OZ,70,4,40,
453412,OZ,71,7,20,
453412,OZ,71,2,40,
453412,OZ,80,4,20,
453412,OZ,80,5,40,
453412,OZ,81,18,20,
453412,OZ,81,1,40,
453412,OZ,E1,6,20,
453412,OZ,E1,16,40,
453412,OZ,E2,2,20,
453412,OZ,E2,4,40,
453412,OZ,E3,1,20,
453412,OZ,E3,1,40,
453412,OZ,E4,8,20,
453412,OZ,E4,7,40,
453412,OZ,E5,11,20,
453412,OZ,E5,1,40,
453412,OZ,E6,1,20,
453412,OZ,E6,1,40,
453412,OZ,E7,2,20,
453412,OZ,E8,12,20,
453412,OZ,E8,7,40,
453412,OZ,E9,15,20,
453412,OZ,E9,3,40,
453412,OZ,EA,12,20,
453412,OZ,EA,5,40,
453412,OZ,EB,4,20,
453412,OZ,EB,3,40,
453412,OZ,EC,15,20,
453412,OZ,EC,4,40,
453412,OZ,ED,1,20,
453412,T,13,10,20,
453412,T,13,4,40,
453412,T,14,2,20,
453412,T,14,20,40,
453412,T,15,6,40,
453412,T,16,3,20,
453412,T,16,51,40,
453412,T,17,1,20,
453412,T,17,33,40,
453412,T,22,2,20,
453412,T,22,2,40,
453412,T,23,2,40,
453412,T,24,22,40,
453412,T,26,4,20,
453412,T,26,29,40,
453412,T,27,2,20,
453412,T,27,36,40,
453412,T,32,4,20,
453412,T,32,5,40,
453412,T,33,3,20,
453412,T,33,2,40,
453412,T,37,15,40,
453412,T,42,2,20,
453412,T,42,5,40,
453412,T,43,2,20,
453412,T,43,8,40,
453412,T,44,1,20,
453412,T,44,2,40,
453412,T,45,14,40,
453412,T,46,4,20,
453412,T,46,54,40,
453412,T,47,1,20,
453412,T,47,7,40,
453412,T,52,11,40,
453412,T,53,3,20,
453412,T,53,1,40,
453412,T,54,1,40,
453412,T,62,1,20,
453412,T,62,8,40,
453412,T,63,1,40,
453412,T,64,1,20,
453412,T,65,1,20,
453412,T,72,1,20,
453412,T,74,1,40,
453412,T,76,3,40,
453412,T,77,2,40,
453412,T,83,2,20,
453412,T,83,1,40,
453412,T,85,1,40,
453412,T,86,2,40,
453412,T,87,3,20,
453412,T,E1,3,20,
453412,T,E1,35,40,
453412,T,E2,21,40,
453412,T,E3,4,40,
453412,T,E4,6,20,
453412,T,E4,26,40,
453412,T,E5,20,40,
453412,T,E6,11,40,
453412,T,E7,8,40,
453412,T,E8,44,40,
453412,T,E9,31,40,
453412,T,EA,24,40,
453412,T,EB,22,40,
453412,T,EC,21,40,
453412,T,ED,30,40,
453416,OF,1A,58,20,
453416,OF,1A,193,40,
453416,OF,2A,94,20,
453416,OF,2A,193,40,
453416,OF,2B,96,20,
453416,OF,2B,66,40,
453416,OF,2C,35,20,
453416,OF,2C,120,40,
453416,OF,38,97,20,
453416,OF,38,193,40,
453416,OF,4A,1,20,
453416,OF,4A,173,40,
453416,OF,4D,85,20,
453416,OF,4D,193,40,
453416,OF,5A,193,40,
453416,OF,5D,41,20,
453416,OF,5D,137,40,
453416,OF,69,98,20,
453416,OF,69,83,40,
453416,OF,6H,1,40,
453416,OF,E6,15,40,
453416,OF,E7,17,40,
453416,OF,E8,6,40,
453416,OF,E9,2,40,
453416,OF,EA,32,40,
453416,OF,EB,5,40,
453416,OF,EC,2,40,
453416,OF,ED,31,40,
453416,OF,EE,42,40,
453416,OZ,10,1,20,
453416,OZ,10,3,40,
453416,OZ,11,2,20,
453416,OZ,11,9,40,
453416,OZ,12,6,40,
453416,OZ,21,5,20,
453416,OZ,21,1,40,
453416,OZ,30,1,40,
453416,OZ,31,7,40,
453416,OZ,41,5,20,
453416,OZ,41,6,40,
453416,OZ,51,1,20,
453416,OZ,60,8,20,
453416,OZ,60,20,40,
453416,OZ,61,10,40,
453416,OZ,70,2,20,
453416,OZ,70,4,40,
453416,OZ,71,2,20,
453416,OZ,80,1,20,
453416,OZ,81,6,40,
453416,OZ,E1,21,40,
453416,OZ,E2,1,20,
453416,OZ,E2,19,40,
453416,OZ,E3,1,40,
453416,OZ,E4,1,20,
453416,OZ,E4,18,40,
453416,OZ,E5,3,20,
453416,OZ,E5,19,40,
453416,OZ,E8,22,40,
453416,OZ,E9,2,20,
453416,OZ,E9,29,40,
453416,OZ,EA,2,20,
453416,OZ,EA,27,40,
453416,OZ,EB,25,40,
453416,OZ,EC,22,40,
453416,T,13,10,40,
453416,T,14,8,20,
