plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,row_no,row_allocation,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,21,04,51|21:04:1|51|23:04:1,51-SB01,01|03|21|23|25|27,10,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,25,02,51|25:02:1|51|27:02:1,51-SB01,01|03|21|23|25|27,10,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,25,03,51|25:03:2|51|27:03:2,51-SB01,01|03|21|23|25|27,10,2,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,25,04,51|25:04:3|51|27:04:3,51-SB01,01|03|21|23|25|27,10,3,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,33,03,51|33:03:1|51|35:03:1,51-SB02,33|35|41|43|65|67,4,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,41,02,51|41:02:1|51|43:02:1,51-SB02,33|35|41|43|65|67,4,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,41,05,51|41:05:1|51|43:05:1,51-SB02,33|35|41|43|65|67,4,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,65,06,51|65:06:1|51|67:06:1,51-SB02,33|35|41|43|65|67,4,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,03,02,60|03:02:1|60|05:02:1,60-SB01,03|05|07|17|19|21,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,03,04,60|03:04:1|60|05:04:1,60-SB01,03|05|07|17|19|21,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,17,02,60|17:02:1|60|19:02:1,60-SB01,03|05|07|17|19|21,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,21,02,60|21:02:1|60|23:02:1,60-SB01,03|05|07|17|19|21,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,21,03,60|21:03:1|60|23:03:1,60-SB01,03|05|07|17|19|21,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,35,03,60|35:03:1|60|37:03:1,60-SB02,23|25|35|37|39|41,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,35,05,60|35:05:1|60|37:05:1,60-SB02,23|25|35|37|39|41,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,39,03,60|39:03:1|60|41:03:1,60-SB02,23|25|35|37|39|41,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,49,02,60|49:02:1|60|51:02:1,60-SB03,43|49|51|53|55|61,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,49,04,60|49:04:1|60|51:04:1,60-SB03,43|49|51|53|55|61,5,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,60,53,05,60|53:05:1|60|55:05:1,60-SB03,43|49|51|53|55|61,5,1,HQ,40,1,CNSHA,
