area_no,work_type,has_position,voy_id,planned_qty
87,T,1,453396,6
87,T,1,453412,8
87,T,1,453416,1
88,T,1,453324,15
88,T,1,453356,46
88,T,1,453388,1
88,T,1,453396,9
88,T,1,453412,4
88,T,1,453416,4
88,T,1,454447,5
88,T,1,454585,2
89,OF,1,453308,305
89,OF,1,453324,2
89,OF,1,453388,178
89,OF,1,453396,12
8A,OF,1,453324,13
8A,OF,1,453356,4
8A,OF,1,453388,172
8A,OF,1,453396,59
8A,OF,1,453412,1
8A,OF,1,454585,238
8B,OF,1,453396,17
8B,OF,1,453412,354
8B,OF,1,454585,4
8G,IF,1,453307,244
8G,IF,1,453324,4
8G,IF,1,453356,12
8G,IF,1,453396,1
8G,IF,1,453416,3
8H,IF,1,453307,243
8H,IF,1,453324,4
8H,IF,1,453356,5
8H,IF,1,453396,19
8H,IF,1,453412,6
8H,IF,1,453416,2
8H,IF,1,454447,1
93,T,1,453308,1
93,T,1,453324,1
93,T,1,453356,1
93,T,1,453388,4
93,T,1,453396,74
93,T,1,453412,17
93,T,1,453416,1
93,T,1,454447,2
93,T,1,454585,2
94,T,1,453308,4
94,T,1,453324,4
94,T,1,453356,1
94,T,1,453396,22
94,T,1,453412,2
94,T,1,453416,5
94,T,1,454447,8
94,T,1,454585,6
9B,OF,1,453308,6
9B,OF,1,453396,407
9C,OF,1,453396,423
9D,OF,1,453308,5
9D,OF,1,453324,2
9D,OF,1,453388,4
9D,OF,1,453396,24
9D,OF,1,454585,8
AB,OF,1,453308,8
AB,OF,1,453396,248
AC,OF,1,453308,12
AC,OF,1,453324,28
AC,OF,1,453352,3
AC,OF,1,453356,7
AC,OF,1,453396,80
AC,OF,1,453412,1
AC,OF,1,453416,2
AC,OF,1,454585,39
AD,OF,1,453308,11
AD,OF,1,453324,2
AD,OF,1,453352,5
AD,OF,1,453356,1
AD,OF,1,453396,50
AD,OF,1,453412,2
AD,OF,1,453416,1
AD,OF,1,454447,3
E1,OF/OZ/IF/IZ/T,1,453273,289
E1,OF/OZ/IF/IZ/T,1,453308,22
E1,OF/OZ/IF/IZ/T,1,453324,6
